flight_date,airline,source,destination,days_left,price
2026-10-10,Air India,Mumbai,Delhi,35,5468.0
2026-09-21,AirAsia,Kolkata,Mumbai,16,7826.0
2026-10-02,Indigo,Chennai,Delhi,27,7373.0
2026-10-07,AirAsia,Kolkata,Hyderabad,32,5474.0
2026-09-14,SpiceJet,Mumbai,Chennai,9,8861.0
2026-09-11,Vistara,Kolkata,Delhi,6,13370.0
2026-10-04,Air India,Delhi,Chennai,29,7475.0
2026-09-27,Air India,Chennai,Bangalore,22,8981.0
2026-10-17,AirAsia,Mumbai,Bangalore,42,4738.0
2026-09-17,Air India,Kolkata,Hyderabad,12,11178.0
2026-10-18,AirAsia,Chennai,Delhi,43,5121.0
2026-09-08,Vistara,Bangalore,Hyderabad,3,14848.0
2026-09-20,Indigo,Hyderabad,Kolkata,15,6809.0
2026-10-21,Air India,Chennai,Mumbai,46,7565.0
2026-09-25,Vistara,Delhi,Hyderabad,20,10251.0
2026-09-23,SpiceJet,Hyderabad,Delhi,18,6095.0
2026-09-08,Indigo,Hyderabad,Kolkata,3,10527.0
2026-10-23,Indigo,Bangalore,Delhi,48,4358.0
2026-10-19,Air India,Chennai,Mumbai,44,7451.0
2026-09-21,Air India,Hyderabad,Mumbai,16,9733.0
2026-09-30,Air India,Kolkata,Chennai,25,7365.0
2026-10-13,SpiceJet,Kolkata,Delhi,38,4761.0
2026-09-10,AirAsia,Kolkata,Bangalore,5,7756.0
2026-09-06,AirAsia,Kolkata,Delhi,1,9372.0
2026-09-08,Vistara,Delhi,Hyderabad,3,13466.0
2026-09-25,AirAsia,Hyderabad,Bangalore,20,6415.0
2026-10-20,SpiceJet,Delhi,Mumbai,45,4268.0
2026-10-14,AirAsia,Delhi,Mumbai,39,5734.0
2026-09-16,GoFirst,Mumbai,Kolkata,11,5286.0
2026-10-08,GoFirst,Hyderabad,Kolkata,33,6351.0
2026-10-14,SpiceJet,Mumbai,Kolkata,39,4253.0
2026-09-27,SpiceJet,Mumbai,Chennai,22,6307.0
2026-10-12,SpiceJet,Mumbai,Bangalore,37,6212.0
2026-10-07,Indigo,Mumbai,Chennai,32,6811.0
2026-09-24,AirAsia,Chennai,Delhi,19,6644.0
2026-10-23,GoFirst,Delhi,Bangalore,48,4175.0
2026-10-22,SpiceJet,Chennai,Hyderabad,47,3719.0
2026-09-08,Indigo,Mumbai,Bangalore,3,9843.0
2026-10-02,SpiceJet,Chennai,Mumbai,27,6916.0
2026-10-05,Indigo,Kolkata,Delhi,30,5664.0
2026-10-20,SpiceJet,Bangalore,Hyderabad,45,5653.0
2026-10-19,Vistara,Delhi,Kolkata,44,6136.0
2026-09-17,GoFirst,Kolkata,Chennai,12,6456.0
2026-09-27,SpiceJet,Bangalore,Delhi,22,7538.0
2026-09-29,GoFirst,Hyderabad,Delhi,24,4934.0
2026-10-14,Indigo,Hyderabad,Kolkata,39,4943.0
2026-09-20,GoFirst,Kolkata,Chennai,15,6250.0
2026-10-10,Air India,Hyderabad,Mumbai,35,6095.0
2026-10-02,Air India,Bangalore,Kolkata,27,8565.0
2026-09-28,Vistara,Bangalore,Kolkata,23,13057.0
2026-09-12,Indigo,Delhi,Kolkata,7,9501.0
2026-10-03,AirAsia,Bangalore,Delhi,28,6868.0
2026-10-16,Air India,Mumbai,Chennai,41,7589.0
2026-10-08,SpiceJet,Delhi,Hyderabad,33,4951.0
2026-09-21,Air India,Kolkata,Hyderabad,16,10034.0
2026-10-02,GoFirst,Delhi,Chennai,27,5396.0
2026-10-19,Vistara,Mumbai,Hyderabad,44,8810.0
2026-10-20,AirAsia,Bangalore,Delhi,45,5144.0
2026-09-16,GoFirst,Bangalore,Mumbai,11,6919.0
2026-09-25,SpiceJet,Bangalore,Kolkata,20,7473.0
2026-09-10,Indigo,Hyderabad,Mumbai,5,8482.0
2026-09-23,Indigo,Hyderabad,Chennai,18,6609.0
2026-10-04,Vistara,Kolkata,Chennai,29,11732.0
2026-09-16,SpiceJet,Bangalore,Hyderabad,11,8230.0
2026-10-08,Air India,Kolkata,Delhi,33,5923.0
2026-09-22,Indigo,Chennai,Bangalore,17,7536.0
2026-09-12,AirAsia,Delhi,Chennai,7,6764.0
2026-09-22,Vistara,Hyderabad,Mumbai,17,13785.0
2026-09-07,Indigo,Hyderabad,Bangalore,2,9912.0
2026-10-18,AirAsia,Hyderabad,Chennai,43,5323.0
2026-09-28,GoFirst,Kolkata,Delhi,23,4179.0
2026-10-19,Indigo,Chennai,Mumbai,44,6144.0
2026-09-19,Indigo,Kolkata,Chennai,14,8364.0
2026-10-17,GoFirst,Delhi,Kolkata,42,5087.0
2026-09-17,Vistara,Hyderabad,Mumbai,12,12235.0
2026-09-29,Vistara,Kolkata,Mumbai,24,9336.0
2026-10-16,SpiceJet,Chennai,Mumbai,41,5259.0
2026-10-08,GoFirst,Delhi,Hyderabad,33,3895.0
2026-09-27,GoFirst,Chennai,Hyderabad,22,6586.0
2026-09-30,Indigo,Chennai,Bangalore,25,7018.0
2026-09-13,AirAsia,Chennai,Delhi,8,7469.0
2026-09-16,SpiceJet,Delhi,Hyderabad,11,6606.0
2026-09-17,Air India,Delhi,Bangalore,12,8501.0
2026-10-04,GoFirst,Bangalore,Kolkata,29,5352.0
2026-10-10,Air India,Mumbai,Chennai,35,6968.0
2026-09-09,Air India,Chennai,Kolkata,4,8879.0
2026-10-20,Indigo,Bangalore,Kolkata,45,6061.0
2026-09-29,Air India,Bangalore,Hyderabad,24,7656.0
2026-09-27,Indigo,Mumbai,Delhi,22,8996.0
2026-09-11,GoFirst,Hyderabad,Bangalore,6,8778.0
2026-09-22,AirAsia,Hyderabad,Mumbai,17,6724.0
2026-10-04,AirAsia,Kolkata,Bangalore,29,
2026-10-04,GoFirst,Delhi,Mumbai,29,5444.0
2026-09-06,Air India,Bangalore,Chennai,1,12479.0
2026-10-12,Air India,Mumbai,Chennai,37,6436.0
2026-09-30,Indigo,Delhi,Hyderabad,25,7057.0
2026-09-12,Vistara,Bangalore,Mumbai,7,13214.0
2026-10-06,AirAsia,Delhi,Chennai,31,6037.0
2026-10-11,Vistara,Bangalore,Mumbai,36,9915.0
2026-10-10,Indigo,Bangalore,Delhi,35,5904.0
2026-10-14,GoFirst,Hyderabad,Kolkata,39,4262.0
2026-09-20,Indigo,Hyderabad,Chennai,15,7925.0
2026-09-08,Indigo,Mumbai,Kolkata,3,9341.0
2026-09-15,SpiceJet,Mumbai,Kolkata,10,8324.0
2026-10-21,Air India,Chennai,Hyderabad,46,5205.0
2026-09-07,SpiceJet,Hyderabad,Delhi,2,7794.0
2026-09-09,GoFirst,Mumbai,Bangalore,4,6877.0
2026-09-30,GoFirst,Hyderabad,Delhi,25,4979.0
2026-09-06,Indigo,Delhi,Bangalore,1,8248.0
2026-09-18,Air India,Delhi,Mumbai,13,11006.0
2026-09-14,Air India,Delhi,Mumbai,9,10527.0
2026-10-03,GoFirst,Hyderabad,Chennai,28,6687.0
2026-09-15,Vistara,Chennai,Kolkata,10,13938.0
2026-09-24,Air India,Mumbai,Kolkata,19,10183.0
2026-09-14,Vistara,Mumbai,Chennai,9,14478.0
2026-10-11,SpiceJet,Chennai,Mumbai,36,5947.0
2026-09-06,Vistara,Delhi,Kolkata,1,12636.0
2026-09-14,Indigo,Hyderabad,Delhi,9,7169.0
2026-10-08,Air India,Chennai,Delhi,33,8138.0
2026-10-15,SpiceJet,Hyderabad,Kolkata,40,5075.0
2026-09-27,Vistara,Chennai,Mumbai,22,10426.0
2026-10-15,Vistara,Kolkata,Bangalore,40,9572.0
2026-09-10,Indigo,Kolkata,Delhi,5,9024.0
2026-09-23,SpiceJet,Delhi,Bangalore,18,5917.0
2026-09-19,Vistara,Delhi,Mumbai,14,11125.0
2026-09-10,Indigo,Bangalore,Kolkata,5,8697.0
2026-10-13,Indigo,Chennai,Delhi,38,6551.0
2026-09-26,Indigo,Delhi,Hyderabad,21,6328.0
2026-09-23,SpiceJet,Chennai,Mumbai,18,7062.0
2026-10-07,Vistara,Chennai,Delhi,32,8013.0
2026-09-25,GoFirst,Chennai,Bangalore,20,7182.0
2026-10-10,SpiceJet,Chennai,Bangalore,35,5505.0
2026-10-13,Indigo,Chennai,Hyderabad,38,4856.0
2026-10-08,Indigo,Bangalore,Mumbai,33,7324.0
2026-09-19,Air India,Hyderabad,Chennai,14,9267.0
2026-09-22,Air India,Chennai,Mumbai,17,8248.0
2026-10-02,Indigo,Bangalore,Delhi,27,5167.0
2026-10-19,Indigo,Bangalore,Kolkata,44,5592.0
2026-09-08,SpiceJet,Chennai,Mumbai,3,8366.0
2026-09-12,Air India,Mumbai,Delhi,7,10636.0
2026-10-15,SpiceJet,Mumbai,Hyderabad,40,4289.0
2026-10-24,SpiceJet,Mumbai,Bangalore,49,3835.0
2026-10-09,Vistara,Hyderabad,Delhi,34,10688.0
2026-09-22,Indigo,Kolkata,Mumbai,17,7769.0
2026-09-17,SpiceJet,Hyderabad,Bangalore,12,8847.0
2026-09-20,Indigo,Hyderabad,Delhi,15,8186.0
2026-10-08,Air India,Chennai,Delhi,33,6335.0
2026-09-10,GoFirst,Bangalore,Hyderabad,5,7083.0
2026-10-20,GoFirst,Delhi,Mumbai,45,4276.0
2026-10-04,AirAsia,Mumbai,Delhi,29,7171.0
2026-09-18,GoFirst,Delhi,Chennai,13,5799.0
2026-09-09,Indigo,Delhi,Chennai,4,10391.0
2026-10-14,Air India,Delhi,Hyderabad,39,6583.0
2026-09-19,GoFirst,Mumbai,Delhi,14,5298.0
2026-10-08,Indigo,Mumbai,Hyderabad,33,5792.0
2026-10-02,Air India,Hyderabad,Mumbai,27,8252.0
2026-10-20,Indigo,Hyderabad,Bangalore,45,6187.0
2026-09-23,Vistara,Mumbai,Kolkata,18,13209.0
2026-09-12,Vistara,Delhi,Hyderabad,7,12159.0
